count,datetime,stock_code,exchange_code,open,high,low,close,volume,monthlyAvgPrice,monthly avg price,daily avg price
0,2022-01-03 12:01:00,TATMOT,NSE,493.5,500.85,492.0,497.6,32748423,,500.83875000000006,496.425
1,2022-01-04 12:01:00,TATMOT,NSE,496.8,499.0,484.05,489.6,24100985,,500.83875000000006,491.525
2,2022-01-05 12:01:00,TATMOT,NSE,486.95,492.75,483.55,489.75,15420105,,500.83875000000006,488.15
3,2022-01-06 12:01:00,TATMOT,NSE,481.5,492.95,477.1,488.85,16563230,,500.83875000000006,485.025
4,2022-01-07 12:01:00,TATMOT,NSE,490.05,495.5,483.75,490.6,15532165,,500.83875000000006,489.625
5,2022-01-10 12:01:00,TATMOT,NSE,493.1,504.9,491.3,503.7,25193771,,500.83875000000006,498.1
6,2022-01-11 12:01:00,TATMOT,NSE,503.0,507.9,498.15,501.3,16269193,,500.83875000000006,503.025
7,2022-01-12 12:01:00,TATMOT,NSE,505.85,511.85,503.5,507.25,16255334,,500.83875000000006,507.675
8,2022-01-13 12:01:00,TATMOT,NSE,504.0,513.8,494.8,511.95,27572553,,500.83875000000006,504.29999999999995
9,2022-01-14 12:01:00,TATMOT,NSE,509.0,515.4,505.65,509.9,12655602,,500.83875000000006,510.525
10,2022-01-17 12:01:00,TATMOT,NSE,514.8,526.9,512.0,525.0,27942414,,500.83875000000006,519.45
11,2022-01-18 12:01:00,TATMOT,NSE,527.9,528.5,507.15,510.8,19353195,,500.83875000000006,517.825
12,2022-01-19 12:01:00,TATMOT,NSE,510.0,522.2,504.8,520.85,21799071,,500.83875000000006,513.5
13,2022-01-20 12:01:00,TATMOT,NSE,519.95,523.2,512.0,515.7,18364451,,500.83875000000006,517.6
14,2022-01-21 12:01:00,TATMOT,NSE,510.4,513.85,494.25,501.85,17946821,,500.83875000000006,504.05
15,2022-01-24 12:01:00,TATMOT,NSE,499.7,504.3,473.35,478.45,25228959,,500.83875000000006,488.82500000000005
16,2022-01-25 12:01:00,TATMOT,NSE,473.8,492.5,467.65,490.55,22565698,,500.83875000000006,480.075
17,2022-01-27 12:01:00,TATMOT,NSE,480.75,502.7,476.6,494.4,26676094,,500.83875000000006,489.65
18,2022-01-28 12:01:00,TATMOT,NSE,500.5,509.35,495.3,497.3,21784640,,500.83875000000006,502.32500000000005
19,2022-01-31 12:01:00,TATMOT,NSE,505.0,520.0,498.2,517.75,27306578,,500.83875000000006,509.1
20,2022-02-01 12:02:00,TATMOT,NSE,508.0,514.75,493.0,504.3,48030231,,488.9624999999999,503.875
21,2022-02-02 12:02:00,TATMOT,NSE,508.6,514.45,505.15,506.4,14311040,,488.9624999999999,509.8
22,2022-02-03 12:02:00,TATMOT,NSE,509.1,514.3,502.85,504.5,15249245,,488.9624999999999,508.575
23,2022-02-04 12:02:00,TATMOT,NSE,503.8,507.8,499.0,500.6,12663199,,488.9624999999999,503.4
24,2022-02-07 12:02:00,TATMOT,NSE,502.9,504.35,492.5,494.6,13392910,,488.9624999999999,498.425
25,2022-02-08 12:02:00,TATMOT,NSE,498.0,498.5,479.15,492.75,23378623,,488.9624999999999,488.825
26,2022-02-09 12:02:00,TATMOT,NSE,496.5,503.7,494.7,501.25,12430730,,488.9624999999999,499.2
27,2022-02-10 12:02:00,TATMOT,NSE,506.7,510.5,504.2,507.45,14537945,,488.9624999999999,507.35
28,2022-02-11 12:02:00,TATMOT,NSE,503.25,507.0,497.0,498.85,13534899,,488.9624999999999,502.0
29,2022-02-14 12:02:00,TATMOT,NSE,487.0,488.5,468.8,471.45,22157389,,488.9624999999999,478.65
30,2022-02-15 12:02:00,TATMOT,NSE,476.15,505.5,467.3,504.0,30623088,,488.9624999999999,486.4
31,2022-02-16 12:02:00,TATMOT,NSE,504.0,507.9,496.6,498.45,20176993,,488.9624999999999,502.25
32,2022-02-17 12:02:00,TATMOT,NSE,505.9,511.5,498.3,499.95,27943077,,488.9624999999999,504.9
33,2022-02-18 12:02:00,TATMOT,NSE,498.0,502.65,491.5,493.15,15476803,,488.9624999999999,497.075
34,2022-02-21 12:02:00,TATMOT,NSE,490.15,500.4,486.1,494.45,22592161,,488.9624999999999,493.25
35,2022-02-22 12:02:00,TATMOT,NSE,480.55,486.3,471.45,478.25,27957544,,488.9624999999999,478.875
36,2022-02-23 12:02:00,TATMOT,NSE,481.75,485.4,475.3,477.0,17703998,,488.9624999999999,480.35
37,2022-02-24 12:02:00,TATMOT,NSE,455.95,461.55,405.45,427.95,57265685,,488.9624999999999,433.5
38,2022-02-25 12:02:00,TATMOT,NSE,444.85,465.7,441.6,459.75,48876182,,488.9624999999999,453.65
39,2022-02-28 12:02:00,TATMOT,NSE,445.0,457.35,440.45,454.05,34475468,,488.9624999999999,448.9
40,2022-03-02 12:03:00,TATMOT,NSE,452.95,454.25,444.55,447.6,25791134,,425.26190476190476,449.4
41,2022-03-03 12:03:00,TATMOT,NSE,458.5,458.5,435.0,437.1,29599672,,425.26190476190476,446.75
42,2022-03-04 12:03:00,TATMOT,NSE,431.85,431.85,414.75,417.25,38765185,,425.26190476190476,423.3
43,2022-03-07 12:03:00,TATMOT,NSE,401.75,401.75,387.5,394.0,44836205,,425.26190476190476,394.625
44,2022-03-08 12:03:00,TATMOT,NSE,390.5,395.45,376.35,391.75,55543383,,425.26190476190476,385.9
45,2022-03-09 12:03:00,TATMOT,NSE,394.95,409.25,389.5,405.9,48376222,,425.26190476190476,399.375
46,2022-03-10 12:03:00,TATMOT,NSE,427.0,434.95,414.0,419.6,59776817,,425.26190476190476,424.475
